Text,legitimizer,confidence
"WASHINGTON (Reuters) - U.S. President Donald Trump will nominate National Football League team owner Woody Johnson as U.S. ambassador to Britain, the White House said on Thursday. Johnson, a billionaire investor and owner of the New York Jets, will require Senate confirmation to take up the diplomatic post. Johnson’s nomination does not come as a surprise. In January, Trump referred to Johnson as “ambassador” during remarks at a luncheon and said the NFL team owner was “going to St. James.”   ",Real,0.9999999999847651
"ZAGREB (Reuters) - A Croatian court on Tuesday sentenced a Serb former paramilitary commander to 15 years in prison for torturing and killing soldiers and civilians during Croatia s 1991-95 independence war. Dragan Vasiljkovic, 62, who has dual Serbian and Australian citizenship, was charged with violating the Geneva Convention by torturing and killing captive Croatian soldiers and police in the rebel stronghold of Knin and for crimes near the towns of Glina and Benkovac in 1991 and 1993.   Vasiljkovic, whose trial in the Adriatic city of Split took one year, denied he had committed any crimes and can file an appeal. He was extradited to Croatia in 2015 after losing a nine-year battle to block extradition. He had been living in Perth and working as a golf instructor under the name Daniel Snedden. Croatia declared independence from Yugoslavia in 1991 but its Serb minority, backed by Belgrade, seized a third of the country by force. Croatia retook its occupied territory in a 1995 offensive. ",Real,0.9999999595913837
"MOGADISHU (Reuters) - Three people died in Somalia on Wednesday in different attacks, one of which targeted a patrol of peacekeepers near the country s capital, Mogadishu, officials told Reuters.  A roadside bomb killed one African Union peacekeeper and wounded another as they patrolled Arbis, a village about 23 kilometers southwest of Mogadishu, according to Wilson Rono, a spokesman for the African Union peacekeeping force AMISOM. A counter-attack by AMISOM killed four al Shabaab fighters, Rono said. Al Shabaab is the Islamist militant group fighting to topple Somalia s western-backed government and replace it with one strictly adhering to Islamic sharia law.  The group also frequently targets AMISOM, which is supporting the central government.  Abdiasis Abu Musab, al Shabaab s military spokesman, told Reuters the group had killed four AMISOM soldiers and injured two others in the assault   We have not lost anyone,  Abu Musab said, adding that AMISOM had killed civilian as it responded to the attack. In a second incident late on Wednesday evening, a bomb exploded as it was being prepared in a house in Mogadishu s Karan district, according to Mohamed Osman, a police officer.  It killed one man and injured another,  Osman said. A female police officer was also killed in Mogadishu s Hodan district by gunmen who quickly disappeared, a police official said. Abu Musab told Reuters al Shabaab was also responsible for that attack.  ",Real,0.9999999888620063
"MOSCOW (Reuters) - Russian Foreign Minister Sergei Lavrov said on Friday progress had been made on confidence-building measures related to a territorial dispute between Moscow and Tokyo. The measures focused on easing access for Japanese visitors to the disputed islands in the Pacific, known in Russia as the Kurile Islands and in Japan as the Northern Territories, and boosting economic cooperation in the islands. Lavrov was speaking after talks in Moscow with his Japanese counterpart, Taro Kono. ",Real,0.9999999999994587
"THANK GOODNESS FOR THE CENTER FOR IMMIGRATION STUDIES! Jessica Vaughan is the Center s Director of Policy Studies and has been outspoken about the lack of enforcement of federal law when it comes to criminal illegal aliens. The numbers are staggering!Mark Meadows (R-NC):  How many drug dealers, how many rapists, how many kidnappers do you let get an  out of jail free card? The U.S. Immigration and Customs Enforcement agency in 2015 decided not to deport but release 19,723 criminal illegal immigrants, including 208 convicted of murder, over 900 convicted of sex crimes and 12,307 of drunk driving, according to new government numbers.Overall, those released into virtually every state and territory of America had a total of 64,197 convictions among them, for an average of 3.25 convictions each, according to an analysis by the Center for Immigration Studies. ICE also said that the group were convicted of 8,234 violent crimes. Meanwhile, ICE said that it has also slashed the number of criminals arrested in local communities, according to the Center s Director of Policy Studies, Jessica M. Vaughan.  In 2015, ICE made 119,772 arrests, or just half the number of arrests made in 2013, 232,287,  she said in her analysis that also included a map of the releases.The reason: Under President Obama s immigration policy changes, many criminal immigrants are being ignored even though local police and sheriff have urged ICE to take control of criminals in their jails and deport them.She said that the slash of arrests is why the number of releases by ICE is down.In 2014, 30,000 criminal illegals were released. TREY GOWDY: ",Fake,0.002879444203593408
"This is HUGE news!The city council of Portland, Oregon just did something awesome that could actually reduce the income inequality gap.As we all know, CEO pay has gotten out of control over the last few decades. Some CEOs even make more than 100 times what their employees make. And some of those CEOs have the gall to whine that providing benefits, better wages, and healthcare to their employees is a waste of money.Well, if these greedy CEOs want to operate in Portland they ll have to pay an extra tax that could inspire other American cities to do the same thing.According to the Institute for Policy Studies,In a 3-1 vote, the council agreed to add a surtax on the city s existing business license tax for firms that pay their CEOs more than 100 times what their typical worker receives. This will be the nation s first tax penalty for extreme CEO-worker pay gaps.On how the tax will be levied and which companies will be affected, Truthout.org spoke to IPS co-editor Sarah Anderson, who explained that the city has already found over 500 companies that will see a rise in their taxes soon.Publicly traded companies with extreme pay gaps will pay a surtax on top of the city s current business license tax. The surtax will be 10 percent of the business tax liability for companies with a CEO-worker pay ratio of more than 100-to-1 and 25 percent for companies with a ratio of more than 250-to-1. The Portland government has identified more than 500 corporations that do enough business in the city to be affected by the surtax, including many that regularly dominate the highest-paid CEO lists, such as Oracle, Honeywell, Goldman Sachs, Wells Fargo and General Electric.So once again, the fight on behalf of workers is centered in Oregon. Earlier this year, Oregon raised the minimum wage to nearly $15 an hour. Meanwhile, Donald Trump s cabinet is stacked with billionaires and his tax plan favors the top one percent.According to a Tax Policy Center chart posted to Twitter by Morning Joe economic wonk Steven Rattner, Trump s tax plan will give the top 0.1 percent a $1.1 million tax cut while the bottom 20 percent only get a cut of $110.Under Trump s plan, the top 0.1% get an avg tax cut of $1.1mm; the bottom 20% get only $110. My @Morning_Joe chart: pic.twitter.com/oQcZuALtPa  Steven Rattner (@SteveRattner) December 8, 2016And Trump has repeatedly claimed that the current federal minimum wage of $7.25 an hour is too high and had named a wealthy CEO and opponent of the fight for a $15 minimum wage as his Labor Secretary.Clearly, Trump intends to widen the income gap and punish workers while giving huge tax giveaways to his wealthy friends.But Portland, Oregon just slapped Trump across the face on behalf of workers everywhere and their strategy could be replicated in other cities across the country.Featured Image: Scott Eisen/Getty Images",Fake,0.0032892568470875164
"WASHINGTON (Reuters) - The leaders of the Senate Intelligence Committee said the panel will investigate allegations Russia used cyber attacks to influence the U.S. presidential election, including any links between Russia and the political campaigns. The committee plans to interview senior officials of both the Trump and Obama administrations and may issue subpoenas to compel testimony, the panel’s Republican chairman, Richard Burr, and its top Democrat, Mark Warner, said in a statement. ",Real,0.9999999982127026
"WASHINGTON (Reuters) - U.S. Republicans’ proposed healthcare plan to unravel Obamacare likely will be changed to adjust its tax credits to help older Americans buy health insurance coverage, two Republican lawmakers said on Friday. House Budget Committee Chairman Diane Black said it was very likely there would be such changes to do more for older, lower-income people. U.S. Representative Tom Cole said House Speaker Paul Ryan earlier on Friday had “pretty much committed” to altering the plan’s tax credits to help older Americans. ",Real,0.9999999997936875
"Senator Rand Paul appeared on Bill Hemmer s Fox News show to discuss the importance of fighting the FISA law, to prevent the US government from unlawful spying and collection of information on Americans.With tax reform a done-deal and the wind at his back, Senator Rand Paul came out swinging against the Obama administration.Paul said he wants answers as to why Mueller s investigation into alleged Trump-Russia collusion appears so obviously partisan. You have the Department of Justice, where you have a high-ranking official whose wife works for the group doing opposition research on Trump being paid for by the Democrat National Committee, that sounds like a lot of high-ranking people colluding to try to prevent Donald Trump from being president,  Paul told Fox News  Bill Hemmer from the Hill on Thursday.I'm never a fan of shutting down government so that's not my intention. I am a fan of defending the bill of rights, though. pic.twitter.com/qJ9Sc298Ep  Senator Rand Paul (@RandPaul) December 21, 2017Paul was referring to last week s bombshell that top DOJ official Bruce Ohr not only met with key players in the creation of the infamous  Trump dossier,  but his wife Nellie Ohr worked for Fusion GPS, the opposition research firm that commissioned the unproven document.  BPRTime to investigate high ranking Obama government officials who might have colluded to prevent the election of @realDonaldTrump! This could be WORSE than Watergate!Time to investigate high ranking Obama government officials who might have colluded to prevent the election of @realDonaldTrump! This could be WORSE than Watergate!  Senator Rand Paul (@RandPaul) December 21, 2017",Fake,0.0031450145577441206
"With just ten days to go until the election, one would expect that Donald Trump and his campaign would be in a flurry of final pushes to win over undecided voters, and maybe, possibly a final push towards really reaching minorities. Instead, his campaign is just as screwed up now as it was when it launched, according to an in-depth look at the campaign courtesy of New York Magazine. Perhaps most damning is that Trump has more or less told his own campaign manager how he really feels about people, even his own followers: I got really mad at him the other day, Trump campaign manager Kellyanne Conway told me. He said,  I think we ll win, and if not, that s okay too.  And I said,  It s not okay! You can t say that! Your dry-cleaning bill is like the annual salaries of the people who came to your rallies, and they believe in you!' He shrugged off all his followers in that conversation, as well as Conway. While a ton of his followers are pretty disgusting people, they re still his followers, and he really ought to give half a damn about them. Honestly, though, why would a narcissist like Trump care about anyone? The biggest reason the campaign has failed to reach various sectors of the population is, in large part, because Trump thinks he can just do whatever he wants.But that s not all. It s actually to be expected that Trump wouldn t care about anyone but himself. However, he doesn t know what to do with all these followers. All he really knows how to do is keep them fired up in their righteous anger. In doing so, their blind devotion feeds his ego and helps keep him in the spotlight.And instead of listening to guidance from his advisers, he s increasingly using the campaign just to bolster his brands. His style, which bugged the hell out of his former manager, Paul Manafort, continues to bug the hell out the rest of his staff. The only exception might be Steve Bannon, who may have his own plans for all those supporters whom Trump is throwing under the bus.Some say that Trump can t handle actually taking advice, including Manafort s advice to keep a low profile and force the media to focus on Hillary: His ego couldn t handle it,  said one Republican close to the campaign.  Hillary understood that Trump needed to be the focus.  As his poll numbers climbed, Trump felt he didn t need to listen to Manafort.  The worst part about Trump is when he was ahead,  the prominent Republican said.  He d get into the lead and then he would veer off and start defending his interests and his honor and it had nothing to do with what people actually care about. He s not disciplined. And his ego is what fueled his feud with the Khans, who are a Gold Star family that lost their son in Iraq in 2004. That was all about his ego   he didn t even know what a Gold Star family was before he decided the Khans were his enemy: The election is about the American people, it s not about you,  Manafort told Trump, according to a person briefed on the conversation. Trump countered with Breitbart s report on Khan s purported belief in Sharia.  He s not running for president,  Manafort shot back.  The Clintons did this to us to waste our time getting off message. And it worked   it worked very well. Everything anyone has ever done in this campaign to get Trump off message and onto whatever just bruised his poor widdle ego again has worked.Trump might well be looking to the future   but it s very likely not a future in the White House that he sees. There have been rumors floating around that he s using this campaign to start his own media company. His son-in-law, Jared Kushner, is busy compiling 14 million email addresses and credit card numbers of loyal Trumpkins, which New York Magazine speculates could form the basis of a new Trump media company.While Kushner denies all of this, a spokesman for a Republican who declined to be named told the magazine: Kushner has approached Wall Street bankers and pitched ideas for media start-ups.  How do we monetize this?  he s asked. (Through a spokesperson, Kushner denied having such meetings.) Whether it s his own media company, or promoting his own business interests and ego, or both, it s clearer now than ever that Trump doesn t care what happens to his followers, let alone whether or not he wins. He wants the spotlight. How he gets it is of no consequence, and what he does with it is of even less consequence. This could be good news for us because it could solidify Hillary s win, but it lays bare the sheer lack of character that exists within Trump.Featured image by Sara D. Davis via Getty Images",Fake,0.010295489712533575
